id,name,symbol,price_usd,market_cap_usd,change_24h_pct,volume_24h_usd,sector
bitcoin,Bitcoin,BTC,67420.15,1325000000000,2.34,38500000000,Layer1
ethereum,Ethereum,ETH,3512.80,422000000000,-1.12,18200000000,Layer1
solana,Solana,SOL,172.45,78500000000,5.67,4300000000,Layer1
binancecoin,BNB,BNB,598.30,87200000000,0.89,2100000000,Layer1
ripple,XRP,XRP,0.5821,32100000000,-0.43,1850000000,Payments
cardano,Cardano,ADA,0.4712,16700000000,3.21,890000000,Layer1
avalanche,Avalanche,AVAX,38.92,16100000000,-2.87,720000000,Layer1
chainlink,Chainlink,LINK,18.45,10800000000,4.56,580000000,Infrastructure
polkadot,Polkadot,DOT,9.12,12300000000,-1.78,410000000,Infrastructure
uniswap,Uniswap,UNI,11.23,8500000000,6.34,320000000,DeFi
aave,Aave,AAVE,98.76,1470000000,8.91,210000000,DeFi
compound,Compound,COMP,67.34,612000000,-3.45,95000000,DeFi
maker,Maker,MKR,2890.00,2680000000,1.23,87000000,DeFi
polygon,Polygon,MATIC,0.8934,8750000000,2.11,640000000,Layer2
arbitrum,Arbitrum,ARB,1.234,1580000000,-0.67,290000000,Layer2
optimism,Optimism,OP,2.456,2100000000,4.89,380000000,Layer2
cosmos,Cosmos,ATOM,11.78,4590000000,-1.34,210000000,Infrastructure
near,NEAR Protocol,NEAR,7.89,8200000000,3.67,450000000,Layer1
aptos,Aptos,APT,10.45,4870000000,-5.23,310000000,Layer1
sui,Sui,SUI,1.567,1890000000,7.82,290000000,Layer1
